0.05	0.025
-0.025	-0.0125	0
-0.025	0.0125	0
-0.025	0.0375	0
-0.025	0.0625	0
-0.025	0.0875	0
-0.025	0.1125	0
-0.025	0.1375	0
-0.025	0.1625	0
-0.025	0.1875	0
-0.025	0.2125	0
-0.025	0.2375	0
-0.025	0.2625	0
-0.025	0.2875	0
-0.025	0.3125	0
-0.025	0.3375	0
-0.025	0.3625	0
-0.025	0.3875	0
-0.025	0.4125	0
-0.025	0.4375	0
-0.025	0.4625	0
-0.025	0.4875	0
-0.025	0.5125	0
-0.025	0.5375	0
-0.025	0.5625	0
-0.025	0.5875	0
-0.025	0.6125	0
-0.025	0.6375	0
-0.025	0.6625	0
-0.025	0.6875	0
-0.025	0.7125	0
-0.025	0.7375	0
-0.025	0.7625	0
-0.025	0.7875	0
-0.025	0.8125	0
-0.025	0.8375	0
-0.025	0.8625	0
-0.025	0.8875	0
-0.025	0.9125	0
-0.025	0.9375	0
-0.025	0.9625	0
-0.025	0.9875	0
-0.025	1.0125	0
-0.025	1.0375	0
-0.025	1.0625	0
-0.025	1.0875	0
-0.025	1.1125	0
-0.025	1.1375	0
-0.025	1.1625	0
-0.025	1.1875	0
-0.025	1.2125	0
-0.025	1.2375	0
-0.025	1.2625	0
-0.025	1.2875	0
-0.025	1.3125	0
-0.025	1.3375	0
-0.025	1.3625	0
-0.025	1.3875	0
-0.025	1.4125	0
-0.025	1.4375	0
-0.025	1.4625	0
-0.025	1.4875	0
-0.025	1.5125	0
-0.025	1.5375	0
-0.025	1.5625	0
-0.025	1.5875	0
-0.025	1.6125	0
-0.025	1.6375	0
-0.025	1.6625	0
-0.025	1.6875	0
-0.025	1.7125	0
-0.025	1.7375	0
-0.025	1.7625	0
-0.025	1.7875	0
-0.025	1.8125	0
-0.025	1.8375	0
-0.025	1.8625	0
-0.025	1.8875	0
-0.025	1.9125	0
-0.025	1.9375	0
-0.025	1.9625	0
-0.025	1.9875	0
-0.025	2.0125	0
-0.025	2.0375	0
-0.025	2.0625	0
-0.025	2.0875	0
-0.025	2.1125	0
-0.025	2.1375	0
-0.025	2.1625	0
-0.025	2.1875	0
-0.025	2.2125	0
-0.025	2.2375	0
-0.025	2.2625	0
-0.025	2.2875	0
-0.025	2.3125	0
-0.025	2.3375	0
-0.025	2.3625	0
-0.025	2.3875	0
-0.025	2.4125	0
-0.025	2.4375	0
-0.025	2.4625	0
-0.025	2.4875	0
0.025	-0.0125	0
0.025	0.0125	0
0.025	0.0375	0
0.025	0.0625	0
0.025	0.0875	0
0.025	0.1125	0
0.025	0.1375	0.00012
0.025	0.1625	0.00116
0.025	0.1875	0.00176
0.025	0.2125	0.00116
0.025	0.2375	0.00064
0.025	0.2625	0.00028
0.025	0.2875	0.0002
0.025	0.3125	4e-05
0.025	0.3375	4e-05
0.025	0.3625	4e-05
0.025	0.3875	0
0.025	0.4125	4e-05
0.025	0.4375	0
0.025	0.4625	0
0.025	0.4875	0
0.025	0.5125	0
0.025	0.5375	0
0.025	0.5625	0
0.025	0.5875	4e-05
0.025	0.6125	0
0.025	0.6375	0
0.025	0.6625	0
0.025	0.6875	4e-05
0.025	0.7125	0
0.025	0.7375	0
0.025	0.7625	4e-05
0.025	0.7875	0
0.025	0.8125	0
0.025	0.8375	0
0.025	0.8625	0
0.025	0.8875	0
0.025	0.9125	0
0.025	0.9375	0
0.025	0.9625	0
0.025	0.9875	0
0.025	1.0125	0
0.025	1.0375	0
0.025	1.0625	0
0.025	1.0875	0
0.025	1.1125	0
0.025	1.1375	0
0.025	1.1625	0
0.025	1.1875	0
0.025	1.2125	0
0.025	1.2375	0
0.025	1.2625	0
0.025	1.2875	0
0.025	1.3125	0
0.025	1.3375	0
0.025	1.3625	0
0.025	1.3875	0
0.025	1.4125	0
0.025	1.4375	0
0.025	1.4625	0
0.025	1.4875	0
0.025	1.5125	0
0.025	1.5375	0
0.025	1.5625	0
0.025	1.5875	0
0.025	1.6125	0
0.025	1.6375	0
0.025	1.6625	0
0.025	1.6875	0
0.025	1.7125	0
0.025	1.7375	0
0.025	1.7625	0
0.025	1.7875	0
0.025	1.8125	0
0.025	1.8375	0
0.025	1.8625	0
0.025	1.8875	0
0.025	1.9125	0
0.025	1.9375	0
0.025	1.9625	0
0.025	1.9875	0
0.025	2.0125	0
0.025	2.0375	0
0.025	2.0625	0
0.025	2.0875	0
0.025	2.1125	0
0.025	2.1375	0
0.025	2.1625	0
0.025	2.1875	0
0.025	2.2125	0
0.025	2.2375	0
0.025	2.2625	0
0.025	2.2875	0
0.025	2.3125	0
0.025	2.3375	0
0.025	2.3625	0
0.025	2.3875	0
0.025	2.4125	0
0.025	2.4375	0
0.025	2.4625	0
0.025	2.4875	0
0.075	-0.0125	0
0.075	0.0125	0
0.075	0.0375	0
0.075	0.0625	0
0.075	0.0875	0
0.075	0.1125	0
0.075	0.1375	0.00636
0.075	0.1625	0.011
0.075	0.1875	0.00088
0.075	0.2125	0.00024
0.075	0.2375	4e-05
0.075	0.2625	8e-05
0.075	0.2875	0.00016
0.075	0.3125	0
0.075	0.3375	0
0.075	0.3625	8e-05
0.075	0.3875	0
0.075	0.4125	0
0.075	0.4375	0
0.075	0.4625	0
0.075	0.4875	0
0.075	0.5125	0
0.075	0.5375	0
0.075	0.5625	0
0.075	0.5875	0
0.075	0.6125	0
0.075	0.6375	0
0.075	0.6625	0
0.075	0.6875	0
0.075	0.7125	0
0.075	0.7375	0
0.075	0.7625	0
0.075	0.7875	0
0.075	0.8125	0
0.075	0.8375	0
0.075	0.8625	0
0.075	0.8875	0
0.075	0.9125	0
0.075	0.9375	0
0.075	0.9625	0
0.075	0.9875	0
0.075	1.0125	0
0.075	1.0375	0
0.075	1.0625	0
0.075	1.0875	0
0.075	1.1125	0
0.075	1.1375	0
0.075	1.1625	0
0.075	1.1875	0
0.075	1.2125	0
0.075	1.2375	0
0.075	1.2625	0
0.075	1.2875	0
0.075	1.3125	0
0.075	1.3375	0
0.075	1.3625	0
0.075	1.3875	0
0.075	1.4125	0
0.075	1.4375	0
0.075	1.4625	0
0.075	1.4875	0
0.075	1.5125	0
0.075	1.5375	0
0.075	1.5625	0
0.075	1.5875	0
0.075	1.6125	0
0.075	1.6375	0
0.075	1.6625	0
0.075	1.6875	0
0.075	1.7125	0
0.075	1.7375	0
0.075	1.7625	0
0.075	1.7875	0
0.075	1.8125	0
0.075	1.8375	0
0.075	1.8625	0
0.075	1.8875	0
0.075	1.9125	0
0.075	1.9375	0
0.075	1.9625	0
0.075	1.9875	0
